ID;Active(0/1);Name;Categories (x,y,z_);Disponible para pedidos (0 = No, 1 = Si);Mostrar Precio (0 = No, 1 = Si);Description;Image URLs (x,y,z...);Gestor avanzado de inventario;Cuando no haya existencias;Referencia nº
APN-032 ;1;Repuesto Para Pistón Micro ;9;1;0;Repuesto Para Pistón Micro ;http://a72aa5f0.ngrok.io/images/apn/APN-032.jpg;1;1;APN-032 
APN-033 ;1;Pistón De Puerta FNA Torino ;9;1;0;Pistón De Puerta FNA Torino ;http://a72aa5f0.ngrok.io/images/apn/APN-033.jpg;1;1;APN-033 
APN-034 ;1;Piston De Puerta Fna Ayco ;9;1;0;Piston De Puerta Fna Ayco ;http://a72aa5f0.ngrok.io/images/apn/APN-034.jpg;1;1;APN-034 
APN-038 ;1;Pistón Enpa 1203-5 ;9;1;0;Pistón Enpa 1203-5 ;http://a72aa5f0.ngrok.io/images/apn/APN-038.jpg;1;1;APN-038 
APN-039 ;1;Pistón Enpa 1210-1 ;9;1;0;Pistón Enpa 1210-1 ;http://a72aa5f0.ngrok.io/images/apn/APN-039.jpg;1;1;APN-039 
BE-001 ;1;Brazo Espejo Lat. Kazabus Largo ;10;1;0;Brazo Espejo Lat. Kazabus Largo ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-001.jpg;1;1;BE-001 
BE-003 ;1;Brazo Espejo Lat. Kazabus Corto ;10;1;0;Brazo Espejo Lat. Kazabus Corto ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-003.jpg;1;1;BE-003 
BE-004 ;1;Brazo Espejo Lat. No. 15 ;10;1;0;Brazo Espejo Lat. No. 15 ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-004.jpg;1;1;BE-004 
BE-005 ;1;Brazo Espejo Lat. Marcopolo Largo ;10;1;0;Brazo Espejo Lat. Marcopolo Largo ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-005.jpg;1;1;BE-005 
BE-007 ;1;Brazo Espejo Lat. Marcopolo Corto ;10;1;0;Brazo Espejo Lat. Marcopolo Corto ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-007.jpg;1;1;BE-007 
BE-008 ;1;Brazo Espejo Lat. Za ro Derecho ;10;1;0;Brazo Espejo Lat. Za ro Derecho ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-008-D.jpg;1;1;BE-008 
BE-009 ;1;Brazo Espejo Lat. Ayco Magno Derecho ;10;1;0;Brazo Espejo Lat. Ayco Magno Derecho ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-009-D.jpg;1;1;BE-009 
BE-011 ;1;Brazo Espejo Lat. Portería Corto ;10;1;0;Brazo Espejo Lat. Portería Corto ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-011.jpg;1;1;BE-011 
BE-013 ;1;Brazo Espejo Lat. Portería Largo ;10;1;0;Brazo Espejo Lat. Portería Largo ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-013.jpg;1;1;BE-013 
BE-016 ;1;Brazo Espejo Lateral Urbus Sencillo ;10;1;0;Brazo Espejo Lateral Urbus Sencillo ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-016.jpg;1;1;BE-016 
BE-017 ;1;Brazo Espejo Lateral Andare Corto ;10;1;0;Brazo Espejo Lateral Andare Corto ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-017.jpg;1;1;BE-017 
