ID;Active(0/1);Name;Categories (x,y,z_);Disponible para pedidos (0 = No, 1 = Si);Mostrar Precio (0 = No, 1 = Si);Description;Image URLs (x,y,z...);Gestor avanzado de inventario;Cuando no haya existencias;Referencia nº;Etiquetas (x,y,z...)
MIS-34 ;1;Soporte Negro Mediano 4.5” ;17;1;0;<div><p>Soporte Negro Mediano 4.5”</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-34.jpg;1;1;MIS-34 ;Soporte
MIS-39 ;1;Tapón Para Pasamanos Gris Grande ;17;1;0;<div><p>Tapón Para Pasamanos Gris Grande</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-39.jpg;1;1;MIS-39 ;Tapón
MIS-44 ;1;Soporte Pasamanos Mediano 14.5cm 145mm ;17;1;0;<div><p>Soporte Pasamanos Mediano 14.5cm 145mm</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-44.jpg;1;1;MIS-44 ;Soporte
MIS-47 ;1;Soquet 6095 T/ Nuevo 2 Polos ;17;1;0;<div><p>Soquet 6095 T/ Nuevo 2 Polos</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-47.jpg;1;1;MIS-47 ;Soquet 
MIS-49 ;1;Soquet Record 2 Polos ;17;1;0;<div><p>Soquet Record 2 Polos</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-49.jpg;1;1;MIS-49 ;Soquet 
MIS-50 ;1;Soquet Dipsa 2 Polos ;17;1;0;<div><p>Soquet Dipsa 2 Polos</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-50.jpg;1;1;MIS-50 ;Soquet 
MIS-51 ;1;Remate Derecho Moldura Marcopolo ;17;1;0;<div><p>Remate Derecho Moldura Marcopolo</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-51.jpg;1;1;MIS-51 ;Remate
MIS-55 ;1;Remate Recto Izquierdo Moldura Ayco ;17;1;0;<div><p>Remate Recto Izquierdo Moldura Ayco</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-55.jpg;1;1;MIS-55 ;Remate
MIS-63 ;1;Juego Correderas Cromadas ;17;1;0;<div><p>Juego Correderas Cromadas</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-63.jpg;1;1;MIS-63 ;Correderas
MIS-65 ;1;Salida De Aire Chica Gris ;17;1;0;<div><p>Salida De Aire Chica Gris</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-65.jpg;1;1;MIS-65 ;Salida De Aire
MIS-67 ;1;Boton Timbre Marcopolo ;17;1;0;<div><p>Boton Timbre Marcopolo</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-67.jpg;1;1;MIS-67 ;Boton Timbre
MIS-69 ;1;Boton Timbre Gris P. Tubo Económico ;17;1;0;<div><p>Boton Timbre Gris P. Tubo Económico</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-69.jpg;1;1;MIS-69 ;Boton Timbre
MIS-77 ;1;Scilicon 70G Alta Temperatura Negro ;17;1;0;<div><p>Scilicon 70G Alta Temperatura Negro</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-77.jpg;1;1;MIS-77 ;Scilicon
MIS-80 ;1;Gancho Cofre Eurocar ;17;1;0;<div><p>Gancho Cofre Eurocar</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-80.jpg;1;1;MIS-80 ;Gancho
